I,V,R,P,mAh,wh,time,Unnamed: 7,SOC
0.0989,4.2112,42.5853,0.4164,0.1601,0.0007,   0: 0: 5,,100.0
0.099,4.2108,42.5329,0.4169,0.27,0.0011,   0: 0: 9,,99.99576479705846
0.099,4.2104,42.5151,0.417,0.3938,0.0017,   0: 0:14,,99.99152959411691
0.099,4.2101,42.539,0.4167,0.5176,0.0022,   0: 0:18,,99.98729439117537
0.099,4.2097,42.5254,0.4167,0.6416,0.0027,   0: 0:23,,99.98305918823382
0.0991,4.2094,42.4913,0.417,0.7654,0.0032,   0: 0:27,,99.97881970730951
0.099,4.2091,42.5121,0.4167,0.8899,0.0037,   0: 0:32,,99.97458450436797
0.0991,4.2088,42.4713,0.4171,1.0139,0.0043,   0: 0:36,,99.97034502344366
0.0991,4.2085,42.475,0.417,1.1379,0.0048,   0: 0:41,,99.96610554251934
0.0991,4.2082,42.4756,0.4169,1.2628,0.0053,   0: 0:45,,99.96186606159503
0.0991,4.2079,42.4693,0.4169,1.3869,0.0058,   0: 0:50,,99.95762658067072
0.099,4.2077,42.4941,0.4166,1.5109,0.0064,   0: 0:54,,99.95339137772919
0.0993,4.2074,42.3781,0.4177,1.635,0.0069,   0: 0:59,,99.94914334083931
0.0993,4.2071,42.3688,0.4178,1.759,0.0074,   0: 1: 3,,99.94489530394947
0.0989,4.2069,42.5204,0.4162,1.8835,0.0079,   0: 1: 8,,99.94066437899069
0.0991,4.2066,42.4558,0.4168,2.0076,0.0084,   0: 1:12,,99.93642489806639
0.0992,4.2063,42.4051,0.4172,2.1316,0.009,   0: 1:17,,99.9321811391593
0.0991,4.2061,42.4402,0.4168,2.2557,0.0095,   0: 1:21,,99.92794165823497
0.0991,4.2058,42.4275,0.4169,2.3799,0.01,   0: 1:26,,99.92370217731067
0.0992,4.2056,42.401,0.4171,2.5039,0.0105,   0: 1:30,,99.9194584184036
0.0992,4.2053,42.3916,0.4172,2.6286,0.0111,   0: 1:35,,99.91521465949651
0.0992,4.2051,42.3993,0.417,2.7537,0.0116,   0: 1:40,,99.91097090058942
0.0993,4.2048,42.3248,0.4177,2.8779,0.0121,   0: 1:44,,99.90672286369957
0.0994,4.2046,42.3089,0.4178,3.0027,0.0126,   0: 1:49,,99.90247054882695
0.0993,4.2043,42.3372,0.4175,3.1276,0.0132,   0: 1:53,,99.8982225119371
0.0992,4.2041,42.3655,0.4172,3.2518,0.0137,   0: 1:58,,99.89397875303003
0.0994,4.2038,42.3015,0.4178,3.3766,0.0142,   0: 2: 2,,99.8897264381574
0.0993,4.2036,42.3434,0.4173,3.5014,0.0147,   0: 2: 7,,99.88547840126755
0.0994,4.2034,42.3069,0.4176,3.6257,0.0153,   0: 2:11,,99.88122608639493
0.0993,4.2031,42.3286,0.4174,3.75,0.0158,   0: 2:16,,99.87697804950507
0.0993,4.2029,42.3399,0.4172,3.8744,0.0163,   0: 2:20,,99.87273001261524
0.0993,4.2027,42.3137,0.4174,3.9986,0.0168,   0: 2:25,,99.86848197572537
0.0993,4.2024,42.3318,0.4172,4.1228,0.0173,   0: 2:29,,99.86423393883553
0.0993,4.2022,42.3226,0.4172,4.247,0.0179,   0: 2:34,,99.85998590194568
0.0993,4.202,42.31,0.4173,4.3712,0.0184,   0: 2:38,,99.85573786505581
0.0993,4.2018,42.301,0.4174,4.4955,0.0189,   0: 2:43,,99.85148982816597
0.0993,4.2015,42.302,0.4173,4.6203,0.0194,   0: 2:47,,99.84724179127612
0.0993,4.2013,42.3104,0.4172,4.7445,0.02,   0: 2:52,,99.84299375438627
0.0994,4.2011,42.2604,0.4176,4.8689,0.0205,   0: 2:56,,99.83874143951364
0.0992,4.2009,42.3366,0.4168,4.9932,0.021,   0: 3: 1,,99.83449768060657
0.0993,4.2006,42.3137,0.417,5.1184,0.0215,   0: 3: 5,,99.83024964371671
0.0993,4.2004,42.2879,0.4172,5.2432,0.0221,   0: 3:10,,99.82600160682686
0.0994,4.2002,42.2686,0.4174,5.3674,0.0226,   0: 3:14,,99.82174929195425
0.0994,4.2,42.2359,0.4177,5.4923,0.0231,   0: 3:19,,99.81749697708162
0.0994,4.1998,42.261,0.4174,5.6166,0.0236,   0: 3:23,,99.81324466220902
0.0994,4.1996,42.2656,0.4173,5.7409,0.0241,   0: 3:28,,99.80899234733639
0.0994,4.1994,42.2393,0.4175,5.8658,0.0247,   0: 3:32,,99.80474003246377
0.0994,4.1992,42.241,0.4174,5.9907,0.0252,   0: 3:37,,99.80048771759114
0.0995,4.1989,42.1978,0.4178,6.1152,0.0257,   0: 3:41,,99.79623112473574
0.0994,4.1988,42.2608,0.4172,6.2397,0.0262,   0: 3:46,,99.79197880986314
0.0995,4.1985,42.197,0.4177,6.364,0.0268,   0: 3:50,,99.78772221700774
0.0993,4.1983,42.2596,0.4171,6.489,0.0273,   0: 3:55,,99.78347418011789
0.0995,4.1981,42.2133,0.4175,6.6134,0.0278,   0: 3:59,,99.77921758726251
0.0994,4.1979,42.2421,0.4172,6.7378,0.0283,   0: 4: 4,,99.77496527238986
0.0994,4.1977,42.2163,0.4174,6.8627,0.0289,   0: 4: 8,,99.77071295751726
0.0994,4.1975,42.2308,0.4172,6.9876,0.0294,   0: 4:13,,99.76646064264463
0.0993,4.1973,42.2699,0.4168,7.112,0.0299,   0: 4:17,,99.76221260575478
0.0994,4.1971,42.2202,0.4172,7.2368,0.0304,   0: 4:22,,99.75796029088215
0.0994,4.1969,42.2117,0.4173,7.3612,0.0309,   0: 4:27,,99.75370797600954
0.0993,4.1967,42.2435,0.4169,7.4865,0.0315,   0: 4:31,,99.74945993911969
0.0993,4.1965,42.2414,0.4169,7.6114,0.032,   0: 4:36,,99.74521190222984
0.0995,4.1963,42.1782,0.4175,7.7358,0.0325,   0: 4:40,,99.74095530937446
0.0994,4.1961,42.2,0.4172,7.8603,0.033,   0: 4:45,,99.73670299450183
0.0994,4.1959,42.2083,0.4171,7.9847,0.0336,   0: 4:49,,99.73245067962921
0.0995,4.1957,42.1688,0.4175,8.1091,0.0341,   0: 4:54,,99.72819408677383
0.0994,4.1955,42.2177,0.4169,8.2335,0.0346,   0: 4:58,,99.7239417719012
0.0993,4.1953,42.2364,0.4167,8.3584,0.0351,   0: 5: 3,,99.71969373501133
0.0994,4.1951,42.1968,0.4171,8.4827,0.0356,   0: 5: 7,,99.71544142013873
0.0994,4.1949,42.2018,0.417,8.607,0.0362,   0: 5:12,,99.7111891052661
0.0994,4.1948,42.2169,0.4168,8.7314,0.0367,   0: 5:16,,99.70693679039348
0.0993,4.1945,42.2284,0.4166,8.8564,0.0372,   0: 5:21,,99.70268875350362
0.0994,4.1944,42.196,0.4169,8.9807,0.0377,   0: 5:25,,99.698436438631
0.0994,4.1942,42.1973,0.4169,9.1052,0.0383,   0: 5:30,,99.69418412375839
0.0994,4.194,42.1988,0.4168,9.2295,0.0388,   0: 5:34,,99.68993180888577
0.0993,4.1938,42.2277,0.4165,9.3538,0.0393,   0: 5:39,,99.68568377199593
0.0994,4.1936,42.2088,0.4167,9.4781,0.0398,   0: 5:43,,99.6814314571233
0.0994,4.1934,42.2032,0.4167,9.6025,0.0403,   0: 5:48,,99.67717914225068
0.0994,4.1932,42.1944,0.4167,9.7269,0.0409,   0: 5:52,,99.67292682737805
0.0995,4.193,42.1521,0.4171,9.8519,0.0414,   0: 5:57,,99.66867023452266
0.0994,4.1929,42.1672,0.4169,9.9763,0.0419,   0: 6: 1,,99.66441791965005
0.0995,4.1927,42.1313,0.4172,10.1008,0.0424,   0: 6: 6,,99.66016132679466
0.0995,4.1925,42.1465,0.417,10.2257,0.043,   0: 6:10,,99.65590473393927
0.0995,4.1923,42.1208,0.4173,10.3503,0.0435,   0: 6:15,,99.65164814108387
0.0995,4.1921,42.146,0.417,10.4748,0.044,   0: 6:19,,99.64739154822848
0.0995,4.1919,42.1271,0.4171,10.5992,0.0445,   0: 6:24,,99.64313495537309
0.0995,4.1917,42.1288,0.4171,10.7237,0.045,   0: 6:28,,99.63887836251772
0.0995,4.1916,42.1101,0.4172,10.8483,0.0456,   0: 6:33,,99.63462176966232
0.0996,4.1914,42.0743,0.4175,10.9734,0.0461,   0: 6:37,,99.63036089882415
0.0995,4.1912,42.1027,0.4172,11.0979,0.0466,   0: 6:42,,99.62610430596878
0.0995,4.191,42.1214,0.417,11.223,0.0471,   0: 6:46,,99.62184771311338
0.0997,4.1908,42.0419,0.4178,11.3475,0.0477,   0: 6:51,,99.61758256429245
0.0995,4.1906,42.1077,0.4171,11.4722,0.0482,   0: 6:55,,99.61332597143705
0.0995,4.1905,42.123,0.4169,11.5967,0.0487,   0: 7: 0,,99.60906937858167
0.0995,4.1903,42.1142,0.4169,11.7212,0.0492,   0: 7: 4,,99.60481278572628
0.0995,4.1901,42.0992,0.417,11.8458,0.0497,   0: 7: 9,,99.6005561928709
0.0995,4.1899,42.1142,0.4169,11.9708,0.0503,   0: 7:13,,99.5962996000155
0.0995,4.1898,42.1226,0.4167,12.0963,0.0508,   0: 7:18,,99.59204300716011
0.0995,4.1896,42.0972,0.417,12.2208,0.0513,   0: 7:22,,99.58778641430472
0.0995,4.1894,42.1191,0.4167,12.3452,0.0518,   0: 7:27,,99.58352982144932
0.0995,4.1892,42.0902,0.417,12.4698,0.0524,   0: 7:31,,99.57927322859393
0.0995,4.1891,42.0919,0.4169,12.5949,0.0529,   0: 7:36,,99.57501663573855
0.0995,4.1889,42.1104,0.4167,12.7199,0.0534,   0: 7:40,,99.57076004288317
0.0995,4.1887,42.0984,0.4168,12.8443,0.0539,   0: 7:45,,99.56650345002778
0.0996,4.1885,42.0628,0.4171,12.9688,0.0545,   0: 7:49,,99.56224257918961
0.0995,4.1884,42.0849,0.4168,13.0938,0.055,   0: 7:54,,99.55798598633423
0.0995,4.1882,42.1032,0.4166,13.2183,0.0555,   0: 7:59,,99.55372939347883
0.0994,4.188,42.1152,0.4165,13.3427,0.056,   0: 8: 3,,99.5494770786062
0.0995,4.1878,42.0896,0.4167,13.4672,0.0565,   0: 8: 8,,99.54522048575083
0.0994,4.1877,42.1151,0.4164,13.5916,0.0571,   0: 8:12,,99.5409681708782
0.0994,4.1875,42.1203,0.4163,13.7162,0.0576,   0: 8:17,,99.53671585600559
0.0995,4.1873,42.1016,0.4165,13.8407,0.0581,   0: 8:21,,99.5324592631502
0.0995,4.1872,42.0863,0.4166,13.9657,0.0586,   0: 8:26,,99.5282026702948
0.0995,4.187,42.0744,0.4167,14.0908,0.0592,   0: 8:30,,99.5239460774394
0.0995,4.1869,42.0595,0.4168,14.2153,0.0597,   0: 8:35,,99.51968948458402
0.0995,4.1867,42.0778,0.4166,14.3399,0.0602,   0: 8:39,,99.51543289172862
0.0995,4.1865,42.0559,0.4168,14.4644,0.0607,   0: 8:44,,99.51117629887324
0.0996,4.1863,42.0303,0.417,14.5889,0.0612,   0: 8:48,,99.50691542803509
0.0995,4.1862,42.0526,0.4167,14.714,0.0618,   0: 8:53,,99.50265883517969
0.0996,4.186,42.0307,0.4169,14.8386,0.0623,   0: 8:57,,99.49839796434154
0.0996,4.1858,42.0186,0.417,14.9632,0.0628,   0: 9: 2,,99.49413709350338
0.0995,4.1857,42.0814,0.4163,15.0883,0.0633,   0: 9: 6,,99.48988050064798
0.0995,4.1855,42.049,0.4166,15.2129,0.0638,   0: 9:11,,99.48562390779259
0.0995,4.1853,42.0441,0.4166,15.3375,0.0644,   0: 9:15,,99.4813673149372
0.0995,4.1851,42.0489,0.4165,15.462,0.0649,   0: 9:20,,99.47711072208182
0.0995,4.185,42.0474,0.4165,15.5866,0.0654,   0: 9:24,,99.47285412922643
0.0996,4.1848,42.012,0.4169,15.7117,0.0659,   0: 9:29,,99.46859325838827
0.0996,4.1847,42.0275,0.4167,15.8372,0.0665,   0: 9:33,,99.4643323875501
0.0995,4.1845,42.0425,0.4165,15.9618,0.067,   0: 9:38,,99.46007579469472
0.0996,4.1844,41.9937,0.4169,16.0864,0.0675,   0: 9:42,,99.45581492385655
0.0996,4.1842,42.0124,0.4167,16.211,0.068,   0: 9:47,,99.4515540530184
0.0995,4.184,42.0512,0.4163,16.3355,0.0685,   0: 9:51,,99.44729746016301
0.0995,4.1839,42.0431,0.4164,16.4601,0.0691,   0: 9:56,,99.44304086730762
0.0995,4.1837,42.0448,0.4163,16.5846,0.0696,   0:10: 0,,99.43878427445222
0.0995,4.1835,42.0327,0.4164,16.7091,0.0701,   0:10: 5,,99.43452768159685
0.0996,4.1834,42.0142,0.4165,16.8339,0.0706,   0:10: 9,,99.43026681075867
0.0995,4.1832,42.0264,0.4164,16.9584,0.0712,   0:10:14,,99.42601021790328
0.0996,4.183,41.994,0.4167,17.0829,0.0717,   0:10:18,,99.42174934706513
0.0995,4.1829,42.023,0.4164,17.2075,0.0722,   0:10:23,,99.41749275420973
0.0995,4.1827,42.0485,0.4161,17.3326,0.0727,   0:10:27,,99.41323616135436
0.0996,4.1826,42.003,0.4165,17.4571,0.0732,   0:10:32,,99.40897529051618
0.0996,4.1824,41.9945,0.4165,17.5816,0.0738,   0:10:36,,99.40471441967803
0.0995,4.1823,42.0268,0.4162,17.7067,0.0743,   0:10:41,,99.40045782682265
0.0995,4.1821,42.022,0.4162,17.8313,0.0748,   0:10:45,,99.39620123396725
0.0995,4.1819,42.0405,0.416,17.9568,0.0753,   0:10:50,,99.39194464111188
0.0995,4.1818,42.0254,0.4161,18.0814,0.0759,   0:10:54,,99.38768804825648
0.0996,4.1816,41.9831,0.4165,18.2059,0.0764,   0:10:59,,99.38342717741833
0.0995,4.1815,42.0052,0.4162,18.3304,0.0769,   0:11: 3,,99.37917058456293
0.0996,4.1813,41.9835,0.4164,18.4552,0.0774,   0:11: 8,,99.37490971372476
0.0996,4.1812,41.9821,0.4164,18.5798,0.0779,   0:11:12,,99.3706488428866
0.0996,4.181,41.9602,0.4166,18.7044,0.0785,   0:11:17,,99.36638797204844
0.0995,4.1808,42.0294,0.4159,18.829,0.079,   0:11:21,,99.36213137919306
0.0995,4.1807,42.011,0.416,18.9535,0.0795,   0:11:26,,99.35787478633766
0.0996,4.1805,41.9859,0.4163,19.0781,0.08,   0:11:30,,99.35361391549951
0.0996,4.1804,41.9572,0.4165,19.2033,0.0805,   0:11:35,,99.34935304466134
0.0997,4.1802,41.9255,0.4168,19.3279,0.0811,   0:11:39,,99.34508789584041
0.0996,4.1801,41.9511,0.4165,19.4527,0.0816,   0:11:44,,99.34082702500226
0.0995,4.1799,41.9966,0.416,19.5783,0.0821,   0:11:49,,99.33657043214687
0.0995,4.1798,41.995,0.416,19.7028,0.0826,   0:11:53,,99.33231383929147
0.0995,4.1796,42.0037,0.4159,19.8279,0.0832,   0:11:58,,99.3280572464361
0.0995,4.1795,41.9887,0.416,19.9524,0.0837,   0:12: 2,,99.3238006535807
0.0995,4.1794,41.9942,0.4159,20.0771,0.0842,   0:12: 7,,99.31954406072532
0.0995,4.1792,41.9992,0.4159,20.2016,0.0847,   0:12:11,,99.31528746786992
0.0995,4.179,42.0009,0.4158,20.3262,0.0852,   0:12:16,,99.31103087501452
0.0995,4.1789,42.003,0.4158,20.4506,0.0858,   0:12:20,,99.30677428215914
0.0995,4.1788,42.0052,0.4157,20.5752,0.0863,   0:12:25,,99.30251768930376
0.0996,4.1786,41.973,0.416,20.6997,0.0868,   0:12:29,,99.29825681846559
0.0995,4.1785,42.0054,0.4156,20.8248,0.0873,   0:12:34,,99.2940002256102
0.0995,4.1783,41.9732,0.4159,20.9499,0.0878,   0:12:38,,99.28974363275482
0.0996,4.1781,41.9347,0.4163,21.0744,0.0884,   0:12:43,,99.28548276191664
0.0995,4.178,41.9839,0.4158,21.1995,0.0889,   0:12:47,,99.28122616906126
0.0995,4.1779,41.969,0.4159,21.3241,0.0894,   0:12:52,,99.27696957620587
0.0996,4.1777,41.9438,0.4161,21.4493,0.0899,   0:12:56,,99.2727087053677
0.0996,4.1775,41.9421,0.4161,21.5738,0.0904,   0:13: 1,,99.26844783452955
0.0996,4.1774,41.9337,0.4161,21.6984,0.091,   0:13: 5,,99.26418696369139
0.0996,4.1773,41.953,0.4159,21.8232,0.0915,   0:13:10,,99.25992609285325
0.0996,4.1771,41.9478,0.4159,21.9477,0.092,   0:13:14,,99.25566522201508
0.0996,4.1769,41.9463,0.4159,22.0728,0.0925,   0:13:19,,99.2514043511769
0.0996,4.1768,41.9381,0.416,22.1974,0.0931,   0:13:23,,99.24714348033876
0.0996,4.1766,41.9298,0.416,22.3219,0.0936,   0:13:28,,99.24288260950061
0.0996,4.1765,41.9351,0.416,22.4465,0.0941,   0:13:32,,99.23862173866245
0.0995,4.1763,41.9673,0.4156,22.5711,0.0946,   0:13:37,,99.23436514580706
0.0996,4.1762,41.922,0.416,22.6956,0.0951,   0:13:41,,99.2301042749689
0.0996,4.1761,41.9311,0.4159,22.8203,0.0957,   0:13:46,,99.22584340413074
0.0996,4.1759,41.9158,0.416,22.9449,0.0962,   0:13:50,,99.22158253329258
0.0997,4.1758,41.9044,0.4161,23.0696,0.0967,   0:13:55,,99.21731738447164
0.0995,4.1756,41.9602,0.4155,23.1941,0.0972,   0:13:59,,99.21306079161626
0.0995,4.1754,41.9616,0.4155,23.3197,0.0977,   0:14: 4,,99.20880419876087
0.0995,4.1753,41.9504,0.4156,23.4443,0.0983,   0:14: 8,,99.20454760590547
0.0995,4.1752,41.9589,0.4155,23.5688,0.0988,   0:14:13,,99.20029101305008
0.0996,4.175,41.9339,0.4157,23.6933,0.0993,   0:14:17,,99.19603014221192
0.0996,4.1749,41.9256,0.4157,23.8179,0.0998,   0:14:22,,99.19176927137376
0.0996,4.1748,41.9245,0.4157,23.9425,0.1003,   0:14:26,,99.18750840053562
0.0996,4.1746,41.9194,0.4157,24.0672,0.1009,   0:14:31,,99.18324752969745
0.0996,4.1745,41.8944,0.416,24.1918,0.1014,   0:14:35,,99.17898665885929
0.0997,4.1743,41.8761,0.4161,24.3165,0.1019,   0:14:40,,99.17472151003837
0.0995,4.1742,41.9593,0.4153,24.4416,0.1024,   0:14:44,,99.17046491718298
0.0996,4.174,41.9171,0.4156,24.5662,0.1029,   0:14:49,,99.16620404634482
0.0997,4.1739,41.8787,0.416,24.6908,0.1035,   0:14:53,,99.16193889752388
0.0997,4.1738,41.8841,0.4159,24.816,0.104,   0:14:58,,99.15767374870296
0.0996,4.1736,41.8925,0.4158,24.9406,0.1045,   0:15: 2,,99.15341287786478
0.0997,4.1735,41.8578,0.4161,25.0653,0.105,   0:15: 7,,99.14914772904388
0.0997,4.1733,41.8698,0.416,25.1905,0.1055,   0:15:11,,99.14488258022294
0.0996,4.1732,41.9187,0.4155,25.3151,0.1061,   0:15:16,,99.14062170938477
0.0996,4.1731,41.9107,0.4155,25.4403,0.1066,   0:15:20,,99.13636083854662
0.0997,4.1729,41.8591,0.416,25.5654,0.1071,   0:15:25,,99.13209568972569
0.0996,4.1728,41.9077,0.4155,25.6901,0.1076,   0:15:29,,99.12783481888752
0.0996,4.1726,41.8896,0.4156,25.8146,0.1082,   0:15:34,,99.12357394804937
0.0996,4.1725,41.8815,0.4157,25.9393,0.1087,   0:15:38,,99.11931307721122
0.0995,4.1724,41.9173,0.4153,26.0639,0.1092,   0:15:43,,99.11505648435582
0.0995,4.1723,41.9331,0.4151,26.1885,0.1097,   0:15:47,,99.11079989150043
0.0996,4.1721,41.8806,0.4156,26.3136,0.1102,   0:15:52,,99.10653902066228
0.0997,4.172,41.8662,0.4157,26.4383,0.1108,   0:15:57,,99.10227387184133
0.0995,4.1718,41.9118,0.4153,26.5629,0.1113,   0:16: 1,,99.09801727898595
0.0997,4.1717,41.8564,0.4158,26.6876,0.1118,   0:16: 6,,99.09375213016503
0.0995,4.1715,41.909,0.4152,26.8121,0.1123,   0:16:10,,99.08949553730963
0.0996,4.1714,41.8904,0.4154,26.9372,0.1128,   0:16:15,,99.0852346664715
0.0995,4.1712,41.9093,0.4152,27.0634,0.1134,   0:16:19,,99.0809780736161
0.0996,4.1711,41.881,0.4154,27.1879,0.1139,   0:16:24,,99.07671720277793
0.0995,4.171,41.9338,0.4149,27.3124,0.1144,   0:16:28,,99.07246060992254
0.0996,4.1708,41.885,0.4153,27.4369,0.1149,   0:16:33,,99.06819973908438
0.0994,4.1707,41.9414,0.4147,27.5614,0.1154,   0:16:37,,99.06394742421176
0.0997,4.1706,41.8386,0.4157,27.686,0.116,   0:16:42,,99.05968227539084
0.0996,4.1705,41.8846,0.4153,27.8111,0.1165,   0:16:46,,99.05542140455267
0.0997,4.1703,41.846,0.4156,27.9358,0.117,   0:16:51,,99.05115625573175
0.0997,4.1702,41.8412,0.4156,28.0606,0.1175,   0:16:55,,99.04689110691082
0.0995,4.17,41.931,0.4147,28.1852,0.118,   0:17: 0,,99.04263451405544
0.0997,4.1699,41.8319,0.4157,28.3098,0.1186,   0:17: 4,,99.0383693652345
0.0996,4.1698,41.8809,0.4152,28.4344,0.1191,   0:17: 9,,99.03410849439635
0.0996,4.1697,41.8664,0.4153,28.559,0.1196,   0:17:13,,99.02984762355818
0.0996,4.1695,41.8719,0.4152,28.6835,0.1201,   0:17:18,,99.02558675272002
0.0994,4.1694,41.9312,0.4146,28.8087,0.1206,   0:17:22,,99.02133443784741
0.0995,4.1693,41.9028,0.4148,28.9338,0.1212,   0:17:27,,99.017077844992
0.0995,4.1691,41.8811,0.415,29.0584,0.1217,   0:17:31,,99.01282125213662
0.0996,4.1689,41.8727,0.4151,29.183,0.1222,   0:17:36,,99.00856038129847
0.0995,4.1689,41.8854,0.4149,29.3077,0.1227,   0:17:40,,99.00430378844307
0.0995,4.1687,41.8843,0.4149,29.4323,0.1232,   0:17:45,,99.00004719558768
0.0996,4.1686,41.8663,0.4151,29.5569,0.1238,   0:17:49,,98.99578632474953
0.0996,4.1685,41.8476,0.4152,29.682,0.1243,   0:17:54,,98.99152545391136
0.0996,4.1683,41.8664,0.415,29.8071,0.1248,   0:17:58,,98.98726458307321
0.0996,4.1682,41.8382,0.4153,29.9317,0.1253,   0:18: 3,,98.98300371223505
0.0996,4.1681,41.8372,0.4153,30.0563,0.1258,   0:18: 7,,98.97874284139688
0.0996,4.1679,41.8357,0.4152,30.1809,0.1264,   0:18:12,,98.97448197055873
0.0996,4.1678,41.8444,0.4151,30.3066,0.1269,   0:18:16,,98.97022109972056
0.0996,4.1677,41.8399,0.4151,30.4312,0.1274,   0:18:21,,98.96596022888242
0.0995,4.1676,41.8656,0.4149,30.5558,0.1279,   0:18:25,,98.96170363602702
0.0996,4.1674,41.8404,0.4151,30.6815,0.1284,   0:18:30,,98.95744276518886
0.0996,4.1673,41.8358,0.4151,30.8066,0.129,   0:18:34,,98.95318189435069
0.0997,4.1672,41.8145,0.4153,30.9313,0.1295,   0:18:39,,98.94891674552979
0.0996,4.167,41.8264,0.4151,31.056,0.13,   0:18:43,,98.94465587469162
0.0997,4.1669,41.8118,0.4153,31.1812,0.1305,   0:18:48,,98.94039072587069
0.0996,4.1668,41.834,0.415,31.3063,0.1311,   0:18:53,,98.93612985503253
0.0996,4.1666,41.8459,0.4149,31.4309,0.1316,   0:18:57,,98.93186898419437
0.0996,4.1665,41.8512,0.4148,31.556,0.1321,   0:19: 2,,98.9276081133562
0.0996,4.1664,41.8369,0.4149,31.6806,0.1326,   0:19: 6,,98.92334724251805
0.0997,4.1662,41.7918,0.4153,31.8052,0.1331,   0:19:11,,98.91908209369713
0.0997,4.1661,41.7971,0.4153,31.9299,0.1336,   0:19:15,,98.9148169448762
0.0998,4.166,41.7622,0.4156,32.0551,0.1342,   0:19:20,,98.91054751807249
0.0997,4.1659,41.7948,0.4152,32.1804,0.1347,   0:19:24,,98.90628236925157
0.0995,4.1658,41.8508,0.4147,32.305,0.1352,   0:19:29,,98.90202577639617
0.0997,4.1656,41.7754,0.4154,32.4303,0.1357,   0:19:33,,98.89776062757525
0.0997,4.1655,41.7878,0.4152,32.555,0.1363,   0:19:38,,98.89349547875432
0.0996,4.1654,41.8064,0.415,32.6802,0.1368,   0:19:42,,98.88923460791617
0.0997,4.1652,41.795,0.4151,32.8049,0.1373,   0:19:47,,98.88496945909523
0.0997,4.1651,41.7936,0.4151,32.9295,0.1378,   0:19:51,,98.88070431027431
0.0998,4.165,41.7524,0.4155,33.0542,0.1383,   0:19:56,,98.87643488347061
0.0996,4.1648,41.818,0.4148,33.1788,0.1389,   0:20: 0,,98.87217401263244
0.0997,4.1647,41.7933,0.415,33.3035,0.1394,   0:20: 5,,98.86790886381152
0.0996,4.1646,41.8191,0.4147,33.4291,0.1399,   0:20: 9,,98.86364799297337
0.0996,4.1645,41.8311,0.4146,33.5536,0.1404,   0:20:14,,98.85938712213519
0.0996,4.1643,41.8128,0.4147,33.6783,0.1409,   0:20:18,,98.85512625129704
0.0996,4.1642,41.805,0.4148,33.8029,0.1415,   0:20:23,,98.85086538045888
0.0996,4.1641,41.8008,0.4148,33.9275,0.142,   0:20:27,,98.84660450962073
0.0997,4.164,41.786,0.4149,34.0521,0.1425,   0:20:32,,98.8423393607998
0.0996,4.1639,41.8083,0.4147,34.1768,0.143,   0:20:36,,98.83807848996163
0.0996,4.1637,41.8135,0.4146,34.302,0.1435,   0:20:41,,98.83381761912348
0.0997,4.1636,41.745,0.4153,34.4272,0.144,   0:20:45,,98.82955247030254
0.0997,4.1635,41.7677,0.415,34.5525,0.1446,   0:20:50,,98.82528732148162
0.0996,4.1634,41.7829,0.4148,34.6771,0.1451,   0:20:54,,98.82102645064347
0.0997,4.1632,41.7715,0.4149,34.8024,0.1456,   0:20:59,,98.81676130182254
0.0997,4.1631,41.7669,0.415,34.9276,0.1461,   0:21: 3,,98.8124961530016
0.0997,4.163,41.7724,0.4149,35.0522,0.1467,   0:21: 8,,98.80823100418068
0.0996,4.1629,41.7982,0.4146,35.1768,0.1472,   0:21:12,,98.80397013334252
0.0996,4.1628,41.8039,0.4145,35.3015,0.1477,   0:21:17,,98.79970926250436
0.0997,4.1626,41.7656,0.4149,35.4272,0.1482,   0:21:21,,98.79544411368343
0.0996,4.1625,41.8077,0.4144,35.5519,0.1487,   0:21:26,,98.79118324284526
0.0996,4.1624,41.8103,0.4144,35.6765,0.1493,   0:21:30,,98.78692237200711
0.0996,4.1622,41.7852,0.4146,35.8011,0.1498,   0:21:35,,98.78266150116895
0.0995,4.1621,41.8379,0.4141,35.9256,0.1503,   0:21:39,,98.77840490831356
0.0997,4.162,41.7628,0.4148,36.0502,0.1508,   0:21:44,,98.77413975949263
0.0996,4.1619,41.7818,0.4146,36.1749,0.1513,   0:21:48,,98.76987888865447
0.0995,4.1618,41.8175,0.4142,36.2995,0.1518,   0:21:53,,98.76562229579908
0.0997,4.1616,41.7455,0.4149,36.4247,0.1524,   0:21:57,,98.76135714697814
0.0996,4.1615,41.7747,0.4146,36.5494,0.1529,   0:22: 2,,98.75709627613999
0.0997,4.1614,41.7601,0.4147,36.6741,0.1534,   0:22: 6,,98.75283112731907
0.0997,4.1612,41.7517,0.4147,36.7987,0.1539,   0:22:11,,98.74856597849814
0.0996,4.1611,41.7675,0.4146,36.9234,0.1544,   0:22:15,,98.74430510765998
0.0996,4.1611,41.78,0.4144,37.0481,0.155,   0:22:20,,98.74004423682182
0.0996,4.1609,41.7785,0.4144,37.1737,0.1555,   0:22:25,,98.73578336598365
0.0997,4.1608,41.7337,0.4148,37.299,0.156,   0:22:29,,98.73151821716273
0.0996,4.1607,41.7728,0.4144,37.4236,0.1565,   0:22:34,,98.72725734632458
0.0997,4.1606,41.7516,0.4146,37.5482,0.157,   0:22:38,,98.72299219750364
0.0997,4.1604,41.7469,0.4146,37.6728,0.1576,   0:22:43,,98.71872704868272
0.0995,4.1604,41.7966,0.4141,37.798,0.1581,   0:22:47,,98.71447045582732
