I,V,R,P,mAh,wh,time,
0.0998,4.0739,40.8298,0.4065,274.6940,1.1300,   2:45:23,
0.0997,4.0739,40.8724,0.4061,274.8187,1.1306,   2:45:28,
0.0997,4.0739,40.8557,0.4062,274.9434,1.1311,   2:45:32,
0.0997,4.0739,40.8586,0.4062,275.0682,1.1316,   2:45:37,
0.0997,4.0739,40.8553,0.4062,275.1933,1.1321,   2:45:41,
0.0996,4.0738,40.8847,0.4059,275.3181,1.1326,   2:45:46,
0.0997,4.0738,40.8681,0.4061,275.4434,1.1331,   2:45:50,
0.0997,4.0738,40.8450,0.4063,275.5681,1.1336,   2:45:55,
0.0997,4.0738,40.8678,0.4061,275.6929,1.1341,   2:45:59,
0.0996,4.0738,40.9038,0.4057,275.8176,1.1346,   2:46: 4,
0.0996,4.0737,40.9165,0.4056,275.9423,1.1351,   2:46: 8,
0.0996,4.0737,40.8835,0.4059,276.0670,1.1356,   2:46:13,
0.0996,4.0737,40.8933,0.4058,276.1922,1.1361,   2:46:17,
0.0997,4.0737,40.8801,0.4059,276.3174,1.1367,   2:46:22,
0.0997,4.0737,40.8599,0.4061,276.4422,1.1372,   2:46:26,
0.0998,4.0737,40.8302,0.4064,276.5670,1.1377,   2:46:31,
0.0997,4.0737,40.8796,0.4059,276.6918,1.1382,   2:46:35,
0.0997,4.0736,40.8727,0.4060,276.8170,1.1387,   2:46:40,
0.0997,4.0736,40.8596,0.4061,276.9418,1.1392,   2:46:44,
0.0996,4.0736,40.9019,0.4057,277.0665,1.1397,   2:46:49,
0.0997,4.0736,40.8657,0.4061,277.1911,1.1402,   2:46:53,
0.0996,4.0736,40.8853,0.4059,277.3158,1.1407,   2:46:58,
0.0996,4.0736,40.8818,0.4059,277.4405,1.1412,   2:47: 2,
0.0996,4.0735,40.9080,0.4056,277.5656,1.1417,   2:47: 7,
0.0997,4.0736,40.8490,0.4062,277.6904,1.1423,   2:47:11,
0.0997,4.0735,40.8455,0.4063,277.8151,1.1428,   2:47:16,
0.0997,4.0735,40.8649,0.4061,277.9400,1.1433,   2:47:20,
0.0997,4.0735,40.8581,0.4061,278.0652,1.1438,   2:47:25,
0.0997,4.0735,40.8548,0.4062,278.1900,1.1443,   2:47:29,
0.0998,4.0735,40.8185,0.4065,278.3153,1.1448,   2:47:34,
0.0996,4.0735,40.8939,0.4058,278.4401,1.1453,   2:47:38,
0.0997,4.0734,40.8444,0.4062,278.5658,1.1458,   2:47:43,
0.0997,4.0734,40.8707,0.4060,278.6905,1.1463,   2:47:47,
0.0997,4.0734,40.8738,0.4059,278.8158,1.1468,   2:47:52,
0.0997,4.0734,40.8704,0.4060,278.9405,1.1473,   2:47:56,
0.0996,4.0734,40.8865,0.4058,279.0652,1.1479,   2:48: 1,
0.0997,4.0733,40.8664,0.4060,279.1899,1.1484,   2:48: 5,
0.0997,4.0733,40.8466,0.4062,279.3146,1.1489,   2:48:10,
0.0996,4.0733,40.8926,0.4057,279.4399,1.1494,   2:48:14,
0.0996,4.0733,40.8825,0.4058,279.5652,1.1499,   2:48:19,
0.0996,4.0733,40.8923,0.4057,279.6899,1.1504,   2:48:23,
0.0997,4.0733,40.8361,0.4063,279.8146,1.1509,   2:48:28,
0.0997,4.0733,40.8496,0.4062,279.9404,1.1514,   2:48:33,
0.0997,4.0733,40.8493,0.4062,280.0652,1.1519,   2:48:37,
0.0997,4.0732,40.8423,0.4062,280.1900,1.1524,   2:48:42,
0.0996,4.0732,40.8849,0.4058,280.3147,1.1529,   2:48:46,
0.0996,4.0732,40.8847,0.4058,280.4395,1.1535,   2:48:51,
0.0996,4.0732,40.8913,0.4057,280.5642,1.1540,   2:48:55,
0.0997,4.0732,40.8713,0.4059,280.6890,1.1545,   2:49: 0,
0.0997,4.0731,40.8577,0.4061,280.8139,1.1550,   2:49: 4,
0.0998,4.0731,40.8317,0.4063,280.9387,1.1555,   2:49: 9,
0.0997,4.0731,40.8445,0.4062,281.0634,1.1560,   2:49:13,
0.0997,4.0731,40.8575,0.4060,281.1887,1.1565,   2:49:18,
0.0997,4.0731,40.8439,0.4062,281.3134,1.1570,   2:49:22,
0.0997,4.0730,40.8668,0.4059,281.4382,1.1575,   2:49:27,
0.0997,4.0730,40.8568,0.4060,281.5630,1.1580,   2:49:31,
0.0998,4.0730,40.8107,0.4065,281.6878,1.1585,   2:49:36,
0.0998,4.0730,40.8170,0.4064,281.8133,1.1590,   2:49:40,
0.0997,4.0730,40.8601,0.4060,281.9382,1.1596,   2:49:45,
0.0996,4.0730,40.8992,0.4056,282.0629,1.1601,   2:49:49,
0.0997,4.0730,40.8560,0.4060,282.1877,1.1606,   2:49:54,
0.0997,4.0730,40.8659,0.4059,282.3124,1.1611,   2:49:58,
0.0997,4.0729,40.8526,0.4061,282.4371,1.1616,   2:50: 3,
0.0997,4.0730,40.8528,0.4061,282.5618,1.1621,   2:50: 7,
0.0997,4.0729,40.8525,0.4061,282.6866,1.1626,   2:50:12,
0.0997,4.0729,40.8525,0.4061,282.8113,1.1631,   2:50:16,
0.0996,4.0729,40.8785,0.4058,282.9359,1.1636,   2:50:21,
0.0997,4.0729,40.8684,0.4059,283.0606,1.1641,   2:50:25,
0.0997,4.0728,40.8582,0.4060,283.1852,1.1646,   2:50:30,
0.0996,4.0728,40.8777,0.4058,283.3105,1.1651,   2:50:34,
0.0997,4.0728,40.8414,0.4062,283.4353,1.1657,   2:50:39,
0.0997,4.0728,40.8579,0.4060,283.5600,1.1662,   2:50:43,
0.0997,4.0728,40.8511,0.4061,283.6852,1.1667,   2:50:48,
0.0997,4.0728,40.8542,0.4060,283.8098,1.1672,   2:50:52,
0.0996,4.0727,40.9099,0.4055,283.9346,1.1677,   2:50:57,
0.0997,4.0727,40.8308,0.4062,284.0593,1.1682,   2:51: 1,
0.0997,4.0727,40.8602,0.4059,284.1841,1.1687,   2:51: 6,
0.0996,4.0727,40.8801,0.4058,284.3087,1.1692,   2:51:10,
0.0997,4.0727,40.8632,0.4059,284.4341,1.1697,   2:51:15,
0.0997,4.0727,40.8435,0.4061,284.5587,1.1702,   2:51:19,
0.0996,4.0726,40.8759,0.4058,284.6834,1.1707,   2:51:24,
0.0997,4.0726,40.8595,0.4059,284.8081,1.1712,   2:51:28,
0.0997,4.0726,40.8561,0.4060,284.9330,1.1718,   2:51:33,
0.0997,4.0726,40.8493,0.4060,285.0576,1.1723,   2:51:37,
0.0998,4.0726,40.8228,0.4063,285.1824,1.1728,   2:51:42,
0.0998,4.0726,40.8194,0.4063,285.3072,1.1733,   2:51:46,
0.0997,4.0726,40.8556,0.4060,285.4319,1.1738,   2:51:51,
0.0997,4.0725,40.8453,0.4061,285.5572,1.1743,   2:51:55,
0.0997,4.0725,40.8420,0.4061,285.6820,1.1748,   2:52: 0,
0.0997,4.0726,40.8652,0.4059,285.8067,1.1753,   2:52: 4,
0.0996,4.0725,40.8779,0.4057,285.9315,1.1758,   2:52: 9,
0.0997,4.0725,40.8516,0.4060,286.0562,1.1763,   2:52:13,
0.0997,4.0725,40.8677,0.4058,286.1815,1.1768,   2:52:18,
0.0997,4.0725,40.8449,0.4061,286.3061,1.1773,   2:52:22,
0.0996,4.0725,40.8873,0.4056,286.4308,1.1779,   2:52:27,
0.0997,4.0724,40.8377,0.4061,286.5555,1.1784,   2:52:31,
0.0997,4.0724,40.8605,0.4059,286.6809,1.1789,   2:52:36,
0.0998,4.0724,40.8244,0.4062,286.8062,1.1794,   2:52:40,
0.0997,4.0724,40.8504,0.4060,286.9319,1.1799,   2:52:45,
0.0996,4.0723,40.8795,0.4057,287.0566,1.1804,   2:52:49,
0.0996,4.0724,40.8898,0.4056,287.1813,1.1809,   2:52:54,
0.0997,4.0723,40.8270,0.4062,287.3065,1.1814,   2:52:59,
0.0996,4.0723,40.8727,0.4057,287.4316,1.1819,   2:53: 3,
0.0997,4.0723,40.8530,0.4059,287.5564,1.1824,   2:53: 8,
0.0997,4.0723,40.8268,0.4062,287.6812,1.1829,   2:53:12,
0.0997,4.0723,40.8525,0.4059,287.8059,1.1835,   2:53:17,
0.0997,4.0723,40.8658,0.4058,287.9307,1.1840,   2:53:21,
0.0997,4.0723,40.8362,0.4061,288.0554,1.1845,   2:53:26,
0.0997,4.0722,40.8455,0.4060,288.1802,1.1850,   2:53:30,
0.0997,4.0722,40.8355,0.4061,288.3049,1.1855,   2:53:35,
0.0998,4.0722,40.8223,0.4062,288.4297,1.1860,   2:53:39,
0.0997,4.0722,40.8516,0.4059,288.5544,1.1865,   2:53:44,
0.0997,4.0722,40.8515,0.4059,288.6792,1.1870,   2:53:48,
0.0997,4.0721,40.8380,0.4061,288.8039,1.1875,   2:53:53,
0.0996,4.0721,40.8972,0.4055,288.9286,1.1880,   2:53:57,
0.0996,4.0721,40.8872,0.4056,289.0534,1.1885,   2:54: 2,
0.0998,4.0721,40.8146,0.4063,289.1781,1.1890,   2:54: 6,
0.0996,4.0721,40.8770,0.4057,289.3033,1.1895,   2:54:11,
0.0997,4.0721,40.8277,0.4061,289.4280,1.1901,   2:54:15,
0.0997,4.0721,40.8504,0.4059,289.5527,1.1906,   2:54:20,
0.0997,4.0721,40.8437,0.4060,289.6774,1.1911,   2:54:24,
0.0998,4.0720,40.8172,0.4062,289.8021,1.1916,   2:54:29,
0.0997,4.0720,40.8434,0.4060,289.9268,1.1921,   2:54:33,
0.0996,4.0720,40.8695,0.4057,290.0517,1.1926,   2:54:38,
0.0997,4.0720,40.8495,0.4059,290.1765,1.1931,   2:54:42,
0.0997,4.0720,40.8429,0.4060,290.3012,1.1936,   2:54:47,
0.0997,4.0719,40.8591,0.4058,290.4259,1.1941,   2:54:51,
0.0997,4.0720,40.8428,0.4060,290.5512,1.1946,   2:54:56,
0.0997,4.0719,40.8360,0.4060,290.6760,1.1951,   2:55: 0,
0.0997,4.0719,40.8358,0.4060,290.8013,1.1956,   2:55: 5,
0.0998,4.0719,40.7896,0.4065,290.9266,1.1962,   2:55: 9,
0.0997,4.0719,40.8256,0.4061,291.0514,1.1967,   2:55:14,
0.0997,4.0719,40.8486,0.4059,291.1767,1.1972,   2:55:18,
0.0997,4.0718,40.8447,0.4059,291.3014,1.1977,   2:55:23,
0.0997,4.0718,40.8447,0.4059,291.4262,1.1982,   2:55:27,
0.0997,4.0718,40.8284,0.4061,291.5509,1.1987,   2:55:32,
0.0997,4.0718,40.8215,0.4061,291.6758,1.1992,   2:55:36,
0.0997,4.0718,40.8507,0.4059,291.8005,1.1997,   2:55:41,
0.0997,4.0717,40.8471,0.4059,291.9253,1.2002,   2:55:45,
0.0997,4.0717,40.8568,0.4058,292.0500,1.2007,   2:55:50,
0.0997,4.0717,40.8470,0.4059,292.1753,1.2012,   2:55:54,
0.0996,4.0717,40.8666,0.4057,292.3005,1.2018,   2:55:59,
0.0998,4.0717,40.8044,0.4063,292.4258,1.2023,   2:56: 3,
0.0997,4.0717,40.8269,0.4061,292.5506,1.2028,   2:56: 8,
0.0998,4.0717,40.8075,0.4063,292.6755,1.2033,   2:56:12,
0.0996,4.0717,40.8694,0.4056,292.8003,1.2038,   2:56:17,
0.0997,4.0717,40.8463,0.4059,292.9256,1.2043,   2:56:21,
0.0997,4.0716,40.8330,0.4060,293.0509,1.2048,   2:56:26,
0.0997,4.0716,40.8461,0.4059,293.1763,1.2053,   2:56:30,
0.0998,4.0716,40.7902,0.4064,293.3010,1.2058,   2:56:35,
0.0997,4.0716,40.8362,0.4060,293.4258,1.2063,   2:56:39,
0.0998,4.0716,40.8162,0.4062,293.5505,1.2068,   2:56:44,
0.0998,4.0716,40.8162,0.4062,293.6753,1.2074,   2:56:48,
0.0998,4.0716,40.8060,0.4063,293.8000,1.2079,   2:56:53,
0.0997,4.0715,40.8255,0.4061,293.9249,1.2084,   2:56:57,
0.0997,4.0715,40.8221,0.4061,294.0497,1.2089,   2:57: 2,
0.0997,4.0715,40.8385,0.4059,294.1745,1.2094,   2:57: 6,
0.0996,4.0715,40.8645,0.4057,294.2992,1.2099,   2:57:11,
0.0997,4.0715,40.8413,0.4059,294.4239,1.2104,   2:57:15,
0.0997,4.0715,40.8443,0.4059,294.5487,1.2109,   2:57:20,
0.0996,4.0714,40.8769,0.4055,294.6734,1.2114,   2:57:24,
0.0997,4.0714,40.8307,0.4060,294.7982,1.2119,   2:57:29,
0.0996,4.0714,40.8668,0.4056,294.9234,1.2124,   2:57:34,
0.0996,4.0714,40.8666,0.4056,295.0481,1.2129,   2:57:38,
0.0997,4.0714,40.8500,0.4058,295.1728,1.2134,   2:57:43,
0.0997,4.0714,40.8436,0.4058,295.2980,1.2140,   2:57:47,
0.0997,4.0714,40.8468,0.4058,295.4227,1.2145,   2:57:52,
0.0997,4.0714,40.8531,0.4057,295.5474,1.2150,   2:57:56,
0.0995,4.0713,40.9122,0.4052,295.6721,1.2155,   2:58: 1,
0.0997,4.0713,40.8560,0.4057,295.7968,1.2160,   2:58: 5,
0.0996,4.0713,40.8689,0.4056,295.9215,1.2165,   2:58:10,
0.0997,4.0713,40.8163,0.4061,296.0468,1.2170,   2:58:14,
0.0997,4.0713,40.8227,0.4060,296.1714,1.2175,   2:58:19,
0.0997,4.0713,40.8522,0.4057,296.2963,1.2180,   2:58:23,
0.0997,4.0712,40.8488,0.4058,296.4210,1.2185,   2:58:28,
0.0996,4.0712,40.8910,0.4053,296.5457,1.2190,   2:58:32,
0.0997,4.0712,40.8549,0.4057,296.6703,1.2195,   2:58:37,
0.0997,4.0712,40.8383,0.4059,296.7956,1.2201,   2:58:41,
0.0998,4.0712,40.8086,0.4061,296.9214,1.2206,   2:58:46,
0.0998,4.0712,40.7856,0.4064,297.0461,1.2211,   2:58:50,
0.0997,4.0711,40.8342,0.4059,297.1709,1.2216,   2:58:55,
0.0997,4.0711,40.8146,0.4061,297.2957,1.2221,   2:58:59,
0.0998,4.0711,40.8081,0.4061,297.4204,1.2226,   2:59: 4,
0.0997,4.0711,40.8408,0.4058,297.5453,1.2231,   2:59: 8,
0.0997,4.0711,40.8343,0.4059,297.6700,1.2236,   2:59:13,
0.0998,4.0711,40.8075,0.4061,297.7949,1.2241,   2:59:17,
0.0999,4.0710,40.7681,0.4065,297.9197,1.2246,   2:59:22,
0.0997,4.0710,40.8301,0.4059,298.0444,1.2251,   2:59:26,
0.0997,4.0710,40.8367,0.4058,298.1697,1.2256,   2:59:31,
0.0997,4.0710,40.8429,0.4058,298.2945,1.2262,   2:59:35,
0.0998,4.0710,40.8036,0.4062,298.4193,1.2267,   2:59:40,
0.0998,4.0710,40.8098,0.4061,298.5441,1.2272,   2:59:44,
0.0998,4.0709,40.7963,0.4062,298.6693,1.2277,   2:59:49,
0.0996,4.0710,40.8591,0.4056,298.7940,1.2282,   2:59:53,
0.0997,4.0710,40.8359,0.4058,298.9187,1.2287,   2:59:58,
0.0998,4.0709,40.8094,0.4061,299.0440,1.2292,   3: 0: 2,
0.0998,4.0709,40.8057,0.4061,299.1688,1.2297,   3: 0: 7,
0.0997,4.0709,40.8354,0.4058,299.2935,1.2302,   3: 0:11,
0.0998,4.0709,40.8023,0.4062,299.4193,1.2307,   3: 0:16,
0.0997,4.0708,40.8414,0.4058,299.5441,1.2312,   3: 0:20,
0.0997,4.0708,40.8184,0.4060,299.6688,1.2317,   3: 0:25,
0.0997,4.0708,40.8213,0.4060,299.7935,1.2323,   3: 0:29,
0.0997,4.0708,40.8476,0.4057,299.9182,1.2328,   3: 0:34,
0.0997,4.0708,40.8146,0.4060,300.0434,1.2333,   3: 0:38,
0.0997,4.0708,40.8474,0.4057,300.1682,1.2338,   3: 0:43,
0.0997,4.0708,40.8340,0.4058,300.2929,1.2343,   3: 0:47,
0.0996,4.0708,40.8538,0.4056,300.4178,1.2348,   3: 0:52,
0.0997,4.0707,40.8401,0.4057,300.5435,1.2353,   3: 0:56,
0.0998,4.0707,40.8075,0.4061,300.6682,1.2358,   3: 1: 1,
0.0997,4.0707,40.8273,0.4059,300.7929,1.2363,   3: 1: 5,
0.0998,4.0707,40.8073,0.4061,300.9178,1.2368,   3: 1:10,
0.0996,4.0707,40.8627,0.4055,301.0425,1.2373,   3: 1:14,
0.0997,4.0707,40.8102,0.4060,301.1672,1.2378,   3: 1:19,
0.0997,4.0706,40.8227,0.4059,301.2921,1.2384,   3: 1:23,
0.0997,4.0706,40.8197,0.4059,301.4169,1.2389,   3: 1:28,
0.0997,4.0706,40.8127,0.4060,301.5422,1.2394,   3: 1:33,
0.0998,4.0706,40.8031,0.4061,301.6670,1.2399,   3: 1:37,
0.0998,4.0706,40.7997,0.4061,301.7918,1.2404,   3: 1:42,
0.0998,4.0706,40.7931,0.4062,301.9167,1.2409,   3: 1:46,
0.0998,4.0706,40.7959,0.4062,302.0421,1.2414,   3: 1:51,
0.0998,4.0706,40.8026,0.4061,302.1669,1.2419,   3: 1:55,
0.0997,4.0705,40.8185,0.4059,302.2917,1.2424,   3: 2: 0,
0.0997,4.0705,40.8121,0.4060,302.4174,1.2429,   3: 2: 4,
0.0996,4.0705,40.8679,0.4054,302.5423,1.2434,   3: 2: 9,
0.0997,4.0705,40.8481,0.4056,302.6670,1.2440,   3: 2:13,
0.0997,4.0705,40.8377,0.4057,302.7917,1.2445,   3: 2:18,
0.0997,4.0705,40.8443,0.4057,302.9164,1.2450,   3: 2:22,
0.0997,4.0705,40.8410,0.4057,303.0411,1.2455,   3: 2:27,
0.0996,4.0705,40.8540,0.4056,303.1664,1.2460,   3: 2:31,
0.0997,4.0704,40.8272,0.4058,303.2917,1.2465,   3: 2:36,
0.0997,4.0704,40.8208,0.4059,303.4164,1.2470,   3: 2:40,
0.0997,4.0704,40.8205,0.4059,303.5412,1.2475,   3: 2:45,
0.0996,4.0703,40.8594,0.4055,303.6659,1.2480,   3: 2:49,
0.0997,4.0703,40.8430,0.4056,303.7907,1.2485,   3: 2:54,
0.0997,4.0703,40.8230,0.4058,303.9154,1.2490,   3: 2:58,
0.0997,4.0703,40.8100,0.4060,304.0402,1.2495,   3: 3: 3,
0.0997,4.0703,40.8230,0.4058,304.1656,1.2501,   3: 3: 7,
0.0997,4.0703,40.8457,0.4056,304.2909,1.2506,   3: 3:12,
0.0998,4.0703,40.7930,0.4061,304.4157,1.2511,   3: 3:16,
0.0997,4.0703,40.8193,0.4059,304.5405,1.2516,   3: 3:21,
0.0998,4.0703,40.7798,0.4063,304.6658,1.2521,   3: 3:25,
0.0997,4.0702,40.8057,0.4060,304.7906,1.2526,   3: 3:30,
0.0997,4.0702,40.8221,0.4058,304.9155,1.2531,   3: 3:34,
0.0997,4.0702,40.8056,0.4060,305.0402,1.2536,   3: 3:39,
0.0997,4.0702,40.8087,0.4060,305.1650,1.2541,   3: 3:43,
0.0997,4.0702,40.8448,0.4056,305.2898,1.2546,   3: 3:48,
0.0998,4.0702,40.7919,0.4061,305.4151,1.2551,   3: 3:52,
0.0998,4.0702,40.7886,0.4061,305.5403,1.2557,   3: 3:57,
0.0997,4.0701,40.8278,0.4058,305.6651,1.2562,   3: 4: 1,
0.0997,4.0701,40.8048,0.4060,305.7898,1.2567,   3: 4: 6,
0.0998,4.0701,40.7981,0.4060,305.9146,1.2572,   3: 4:10,
0.0999,4.0701,40.7487,0.4065,306.0399,1.2577,   3: 4:15,
0.0997,4.0701,40.8107,0.4059,306.1653,1.2582,   3: 4:19,
0.0997,4.0701,40.8208,0.4058,306.2910,1.2587,   3: 4:24,
0.0996,4.0701,40.8470,0.4056,306.4156,1.2592,   3: 4:28,
0.0996,4.0701,40.8633,0.4054,306.5403,1.2597,   3: 4:33,
0.0998,4.0700,40.7874,0.4061,306.6657,1.2602,   3: 4:37,
0.0998,4.0700,40.7709,0.4063,306.7906,1.2607,   3: 4:42,
0.0997,4.0700,40.8133,0.4059,306.9157,1.2612,   3: 4:47,
0.0997,4.0700,40.8327,0.4057,307.0406,1.2618,   3: 4:51,
0.0998,4.0700,40.7899,0.4061,307.1653,1.2623,   3: 4:56,
0.0998,4.0699,40.7898,0.4061,307.2906,1.2628,   3: 5: 0,
0.0997,4.0699,40.8092,0.4059,307.4154,1.2633,   3: 5: 5,
0.0997,4.0699,40.8254,0.4057,307.5402,1.2638,   3: 5: 9,
0.0996,4.0699,40.8515,0.4055,307.6649,1.2643,   3: 5:14,
0.0996,4.0699,40.8548,0.4054,307.7896,1.2648,   3: 5:18,
0.0997,4.0699,40.8252,0.4057,307.9144,1.2653,   3: 5:23,
0.0998,4.0698,40.7952,0.4060,308.0397,1.2658,   3: 5:27,
0.0997,4.0698,40.8411,0.4056,308.1644,1.2663,   3: 5:32,
0.0997,4.0698,40.8310,0.4057,308.2893,1.2668,   3: 5:36,
0.0998,4.0698,40.7947,0.4060,308.4140,1.2673,   3: 5:41,
0.0997,4.0698,40.8011,0.4059,308.5388,1.2679,   3: 5:45,
0.0996,4.0698,40.8472,0.4055,308.6634,1.2684,   3: 5:50,
0.0997,4.0698,40.8045,0.4059,308.7881,1.2689,   3: 5:54,
0.0997,4.0698,40.8075,0.4059,308.9129,1.2694,   3: 5:59,
0.0997,4.0697,40.8237,0.4057,309.0378,1.2699,   3: 6: 3,
0.0998,4.0697,40.7841,0.4061,309.1625,1.2704,   3: 6: 8,
0.0997,4.0697,40.8269,0.4057,309.2873,1.2709,   3: 6:12,
0.0997,4.0697,40.8036,0.4059,309.4121,1.2714,   3: 6:17,
0.0998,4.0697,40.7673,0.4063,309.5368,1.2719,   3: 6:21,
0.0997,4.0697,40.8230,0.4057,309.6616,1.2724,   3: 6:26,
0.0997,4.0696,40.8228,0.4057,309.7865,1.2729,   3: 6:30,
0.0998,4.0696,40.7966,0.4060,309.9123,1.2734,   3: 6:35,
0.0998,4.0696,40.7607,0.4063,310.0371,1.2740,   3: 6:39,
0.0997,4.0696,40.8064,0.4059,310.1619,1.2745,   3: 6:44,
0.0998,4.0696,40.7899,0.4060,310.2869,1.2750,   3: 6:48,
0.0998,4.0696,40.7670,0.4063,310.4116,1.2755,   3: 6:53,
0.0998,4.0696,40.7928,0.4060,310.5365,1.2760,   3: 6:57,
0.0997,4.0696,40.8253,0.4057,310.6612,1.2765,   3: 7: 2,
0.0996,4.0696,40.8581,0.4053,310.7876,1.2770,   3: 7: 6,
0.0998,4.0695,40.7792,0.4061,310.9135,1.2775,   3: 7:11,
0.0997,4.0695,40.8020,0.4059,311.0383,1.2780,   3: 7:15,
0.0999,4.0695,40.7524,0.4064,311.1631,1.2785,   3: 7:20,
0.0997,4.0695,40.7984,0.4059,311.2879,1.2790,   3: 7:24,
0.0997,4.0695,40.8181,0.4057,311.4128,1.2796,   3: 7:29,
0.0997,4.0695,40.8179,0.4057,311.5376,1.2801,   3: 7:33,
0.0997,4.0695,40.8144,0.4058,311.6622,1.2806,   3: 7:38,
0.0998,4.0694,40.7944,0.4059,311.7875,1.2811,   3: 7:42,
0.0997,4.0694,40.8172,0.4057,311.9122,1.2816,   3: 7:47,
0.0998,4.0694,40.7938,0.4059,312.0376,1.2821,   3: 7:51,
0.0997,4.0694,40.7972,0.4059,312.1624,1.2826,   3: 7:56,
0.0997,4.0694,40.8200,0.4057,312.2873,1.2831,   3: 8: 0,
0.0997,4.0694,40.8232,0.4056,312.4121,1.2836,   3: 8: 5,
0.0996,4.0693,40.8524,0.4053,312.5369,1.2841,   3: 8: 9,
0.0997,4.0693,40.8261,0.4056,312.6617,1.2846,   3: 8:14,
0.0997,4.0693,40.8293,0.4056,312.7864,1.2851,   3: 8:18,
0.0998,4.0693,40.7834,0.4060,312.9112,1.2856,   3: 8:23,
0.0998,4.0693,40.7932,0.4059,313.0359,1.2862,   3: 8:27,
0.0997,4.0693,40.8093,0.4058,313.1607,1.2867,   3: 8:32,
0.0998,4.0692,40.7826,0.4060,313.2855,1.2872,   3: 8:36,
0.0996,4.0692,40.8384,0.4055,313.4104,1.2877,   3: 8:41,
0.0997,4.0692,40.8218,0.4056,313.5355,1.2882,   3: 8:45,
0.0997,4.0692,40.8120,0.4057,313.6608,1.2887,   3: 8:50,
0.0997,4.0691,40.8309,0.4055,313.7855,1.2892,   3: 8:55,
0.0997,4.0692,40.8084,0.4058,313.9107,1.2897,   3: 8:59,
0.0997,4.0692,40.8048,0.4058,314.0355,1.2902,   3: 9: 4,
0.0998,4.0692,40.7918,0.4059,314.1603,1.2907,   3: 9: 8,
0.0998,4.0691,40.7850,0.4060,314.2851,1.2912,   3: 9:13,
0.0997,4.0691,40.8011,0.4058,314.4098,1.2917,   3: 9:17,
0.0997,4.0691,40.8207,0.4056,314.5345,1.2923,   3: 9:22,
0.0996,4.0691,40.8533,0.4053,314.6593,1.2928,   3: 9:26,
0.0998,4.0691,40.7876,0.4059,314.7841,1.2933,   3: 9:31,
0.0997,4.0690,40.8102,0.4057,314.9089,1.2938,   3: 9:35,
0.0997,4.0690,40.8199,0.4056,315.0337,1.2943,   3: 9:40,
0.0998,4.0690,40.7835,0.4060,315.1584,1.2948,   3: 9:44,
0.0997,4.0690,40.8036,0.4058,315.2832,1.2953,   3: 9:49,
0.0998,4.0690,40.7675,0.4061,315.4079,1.2958,   3: 9:53,
0.0997,4.0690,40.7968,0.4058,315.5332,1.2963,   3: 9:58,
0.0997,4.0690,40.8163,0.4056,315.6580,1.2968,   3:10: 2,
0.0997,4.0690,40.8029,0.4058,315.7829,1.2973,   3:10: 7,
0.0997,4.0689,40.8059,0.4057,315.9076,1.2978,   3:10:11,
0.0996,4.0689,40.8418,0.4054,316.0323,1.2983,   3:10:16,
0.0997,4.0689,40.8221,0.4056,316.1570,1.2989,   3:10:20,
0.0997,4.0689,40.8154,0.4056,316.2828,1.2994,   3:10:25,
0.0998,4.0689,40.7887,0.4059,316.4076,1.2999,   3:10:29,
0.0996,4.0689,40.8479,0.4053,316.5323,1.3004,   3:10:34,
0.0997,4.0689,40.8018,0.4058,316.6575,1.3009,   3:10:38,
0.0997,4.0688,40.7950,0.4058,316.7823,1.3014,   3:10:43,
0.0996,4.0688,40.8475,0.4053,316.9075,1.3019,   3:10:47,
0.0997,4.0688,40.8014,0.4058,317.0322,1.3024,   3:10:52,
0.0997,4.0688,40.8044,0.4057,317.1569,1.3029,   3:10:56,
0.0997,4.0688,40.8009,0.4057,317.2816,1.3034,   3:11: 1,
0.0996,4.0688,40.8470,0.4053,317.4069,1.3039,   3:11: 5,
0.0996,4.0687,40.8499,0.4053,317.5316,1.3044,   3:11:10,
0.0996,4.0687,40.8466,0.4053,317.6562,1.3050,   3:11:14,
0.0997,4.0687,40.8269,0.4055,317.7810,1.3055,   3:11:19,
0.0997,4.0687,40.8268,0.4055,317.9056,1.3060,   3:11:23,
0.0998,4.0687,40.7773,0.4060,318.0304,1.3065,   3:11:28,
0.0997,4.0687,40.8069,0.4057,318.1550,1.3070,   3:11:32,
0.0997,4.0687,40.8099,0.4056,318.2797,1.3075,   3:11:37,
0.0997,4.0687,40.8262,0.4055,318.4044,1.3080,   3:11:41,
0.0995,4.0686,40.8719,0.4050,318.5291,1.3085,   3:11:46,
0.0997,4.0687,40.8162,0.4056,318.6543,1.3090,   3:11:50,
0.0997,4.0686,40.7995,0.4057,318.7796,1.3095,   3:11:55,
0.0997,4.0686,40.7894,0.4058,318.9045,1.3100,   3:11:59,
0.0997,4.0686,40.7926,0.4058,319.0292,1.3105,   3:12: 4,
0.0997,4.0686,40.8089,0.4056,319.1540,1.3110,   3:12: 8,
0.0996,4.0686,40.8318,0.4054,319.2793,1.3116,   3:12:13,
0.0998,4.0685,40.7853,0.4059,319.4041,1.3121,   3:12:17,
0.0997,4.0685,40.8118,0.4056,319.5295,1.3126,   3:12:22,
0.0997,4.0685,40.7886,0.4058,319.6542,1.3131,   3:12:26,
0.0996,4.0685,40.8444,0.4053,319.7789,1.3136,   3:12:31,
