I,V,R,P,mAh,wh,time,
0.0995,4.1925,42.1465,0.4170,10.2257,0.0430,   0: 6:10,
0.0995,4.1923,42.1208,0.4173,10.3503,0.0435,   0: 6:15,
0.0995,4.1921,42.1460,0.4170,10.4748,0.0440,   0: 6:19,
0.0995,4.1919,42.1271,0.4171,10.5992,0.0445,   0: 6:24,
0.0995,4.1917,42.1288,0.4171,10.7237,0.0450,   0: 6:28,
0.0995,4.1916,42.1101,0.4172,10.8483,0.0456,   0: 6:33,
0.0996,4.1914,42.0743,0.4175,10.9734,0.0461,   0: 6:37,
0.0995,4.1912,42.1027,0.4172,11.0979,0.0466,   0: 6:42,
0.0995,4.1910,42.1214,0.4170,11.2230,0.0471,   0: 6:46,
0.0997,4.1908,42.0419,0.4178,11.3475,0.0477,   0: 6:51,
0.0995,4.1906,42.1077,0.4171,11.4722,0.0482,   0: 6:55,
0.0995,4.1905,42.1230,0.4169,11.5967,0.0487,   0: 7: 0,
0.0995,4.1903,42.1142,0.4169,11.7212,0.0492,   0: 7: 4,
0.0995,4.1901,42.0992,0.4170,11.8458,0.0497,   0: 7: 9,
0.0995,4.1899,42.1142,0.4169,11.9708,0.0503,   0: 7:13,
0.0995,4.1898,42.1226,0.4167,12.0963,0.0508,   0: 7:18,
0.0995,4.1896,42.0972,0.4170,12.2208,0.0513,   0: 7:22,
0.0995,4.1894,42.1191,0.4167,12.3452,0.0518,   0: 7:27,
0.0995,4.1892,42.0902,0.4170,12.4698,0.0524,   0: 7:31,
0.0995,4.1891,42.0919,0.4169,12.5949,0.0529,   0: 7:36,
0.0995,4.1889,42.1104,0.4167,12.7199,0.0534,   0: 7:40,
0.0995,4.1887,42.0984,0.4168,12.8443,0.0539,   0: 7:45,
0.0996,4.1885,42.0628,0.4171,12.9688,0.0545,   0: 7:49,
0.0995,4.1884,42.0849,0.4168,13.0938,0.0550,   0: 7:54,
0.0995,4.1882,42.1032,0.4166,13.2183,0.0555,   0: 7:59,
0.0994,4.1880,42.1152,0.4165,13.3427,0.0560,   0: 8: 3,
0.0995,4.1878,42.0896,0.4167,13.4672,0.0565,   0: 8: 8,
0.0994,4.1877,42.1151,0.4164,13.5916,0.0571,   0: 8:12,
0.0994,4.1875,42.1203,0.4163,13.7162,0.0576,   0: 8:17,
0.0995,4.1873,42.1016,0.4165,13.8407,0.0581,   0: 8:21,
0.0995,4.1872,42.0863,0.4166,13.9657,0.0586,   0: 8:26,
0.0995,4.1870,42.0744,0.4167,14.0908,0.0592,   0: 8:30,
0.0995,4.1869,42.0595,0.4168,14.2153,0.0597,   0: 8:35,
0.0995,4.1867,42.0778,0.4166,14.3399,0.0602,   0: 8:39,
0.0995,4.1865,42.0559,0.4168,14.4644,0.0607,   0: 8:44,
0.0996,4.1863,42.0303,0.4170,14.5889,0.0612,   0: 8:48,
0.0995,4.1862,42.0526,0.4167,14.7140,0.0618,   0: 8:53,
